test case	grammatical	ungrammatical
obj_rel_no_comp_within_anim--plur_ES_EV_plur_MS_MV	the farmers the executives admire are tall.	the farmers the executives admires are tall.
obj_rel_no_comp_across_inanim--sing_IS_IV_sing_ES_EV	the song the taxi driver hates brings joy to people.	the song the taxi driver hates bring joy to people.
obj_rel_no_comp_across_inanim--sing_IS_IV_plur_ES_EV	the novel the taxi drivers hate is unpopular.	the novel the taxi drivers hate are unpopular.
obj_rel_no_comp_across_inanim--plur_IS_IV_sing_ES_EV	the books the chef likes are popular.	the books the chef likes is popular.
obj_rel_no_comp_across_inanim--plur_IS_IV_plur_ES_EV	the books the taxi drivers love are new.	the books the taxi drivers love is new.
obj_rel_no_comp_within_inanim--sing_ES_EV_sing_IS_IV	the show the executive likes interests people.	the show the executive like interests people.
obj_rel_no_comp_within_inanim--sing_ES_EV_plur_IS_IV	the poems the dancer hates are bad.	the poems the dancer hate are bad.
obj_rel_no_comp_within_inanim--plur_ES_EV_sing_IS_IV	the painting the ministers like brings joy to people.	the painting the ministers likes brings joy to people.
obj_rel_no_comp_within_inanim--plur_ES_EV_plur_IS_IV	the movies the taxi drivers like are new.	the movies the taxi drivers likes are new.
simple_agrmt--sing_MS_MV--0	the author is tall.	the author are tall.
simple_agrmt--sing_MS_MV--1	the surgeon is tall.	the surgeon are tall.
simple_agrmt--sing_MS_MV--2	the surgeon is short.	the surgeon are short.
simple_agrmt--sing_MS_MV--3	the surgeon laughs.	the surgeon laugh.
simple_agrmt--sing_MS_MV--4	the author is young.	the author are young.
simple_agrmt--plur_MS_MV--0	the surgeons are tall.	the surgeons is tall.
simple_agrmt--plur_MS_MV--1	the authors laugh.	the authors laughs.
simple_agrmt--plur_MS_MV--2	the senators are young.	the senators is young.
simple_agrmt--plur_MS_MV--3	the pilots smile.	the pilots smiles.
simple_agrmt--plur_MS_MV--4	the surgeons are tall.	the surgeons is tall.
sent_comp--sing_MS_MV_sing_BS	the mechanic thought the senator is short.	the mechanic thought the senator are short.
sent_comp--sing_MS_MV_plur_BS	the mechanics said the farmer is old.	the mechanics said the farmer are old.
sent_comp--plur_MS_MV_sing_BS	the banker thought the authors are tall.	the banker thought the authors is tall.
sent_comp--plur_MS_MV_plur_BS	the bankers knew the teachers are tall.	the bankers knew the teachers is tall.
vp_coord--sing_MS_MV_MV	the officer is young and is short.	the officer is young and are short.
vp_coord--plur_MS_MV_MV	the managers smile and are young.	the managers smile and is young.
long_vp_coord--sing_MS_LMV_LMV	the pilot writes in a journal every day and is twenty three years old.	the pilot writes in a journal every day and are twenty three years old.
long_vp_coord--plur_MS_LMV_LMV	the farmers are twenty three years old and like to watch television shows.	the farmers are twenty three years old and likes to watch television shows.
reflexives_across--sing_MS_ANPHR_sing_ES_EV	the teacher that the architect admires doubted herself.	the teacher that the architect admires doubted themselves.
reflexives_across--sing_MS_ANPHR_plur_ES_EV	the consultant that the architects love congratulated himself.	the consultant that the architects love congratulated themselves.
reflexives_across--plur_MS_ANPHR_sing_ES_EV	the managers that the chef loves hated themselves.	the managers that the chef loves hated herself.
reflexives_across--plur_MS_ANPHR_plur_ES_EV	the teachers that the chefs admire hurt themselves.	the teachers that the chefs admire hurt herself.
simple_reflexives--sing_MS_ANPHR	the farmer injured herself.	the farmer injured themselves.
simple_reflexives--plur_MS_ANPHR	the pilots disguised themselves.	the pilots disguised himself.
reflexive_sent_comp--sing_MS_ANPHR_sing_BS	the banker said the customer congratulated himself.	the banker said the customer congratulated themselves.
reflexive_sent_comp--sing_MS_ANPHR_plur_BS	the bankers knew the customer congratulated herself.	the bankers knew the customer congratulated themselves.
reflexive_sent_comp--plur_MS_ANPHR_sing_BS	the banker said the customers hated themselves.	the banker said the customers hated himself.
reflexive_sent_comp--plur_MS_ANPHR_plur_BS	the bankers knew the consultants injured themselves.	the bankers knew the consultants injured himself.
npi_across_anim--past	few teachers that the guards hate have ever been famous.	the teachers that few guards hate have ever been famous.
npi_across_anim--future	no authors that the skaters love will ever be popular.	the authors that no skaters love will ever be popular.
npi_across_inanim--past	no books that the executives love have ever been seen.	the books that no executives love have ever been seen.
npi_across_inanim--future	few poems that the chefs hate will ever be appreciated.	the poems that few chefs hate will ever be appreciated.
simple_npi_anim--past	few pilots have ever been famous.	some pilots have ever been famous.
simple_npi_anim--future	no managers will ever have children.	the managers will ever have children.
simple_npi_inanim--past	no novels have ever been seen.	the novels have ever been seen.
simple_npi_inanim--future	no books will ever be ignored.	the books will ever be ignored.
